"Temp..C.","length..mm.","ind.Dw..mg.","AFDW..mg.","Z0..ug.chlorophyll.L.","F..mL.mg.h.","FI..mL.mg.h.","CR..ug.mg.h.","IR..ug.mg.h.","X"
4,22.38,18.1,15.93,2.317,16.27,16.27,0.0174,0.0174,0.046451631524197
4,22.38,18.14,15.96,2.691,13.41,13.41,0.019,0.019,0.0506630465125535
4,21.9,17.04,14.99,2.492,17.05,17.05,0.0203,0.0203,0.0540392356991667
4,21,15.25,13.42,2.492,18.64,18.64,0.0225,0.0225,0.0598685193344281
2,23.63,22.69,19.97,1.229,3.07,3.07,0.0031,0.0031,0.00827508811930238
2,22.55,19.69,17.33,1.252,9.86,9.86,0.0074,0.0074,0.0196900849871972
2,21.73,17.87,15.73,1.404,6.39,6.39,0.0066,0.0066,0.0175444563800301
2,21.88,18.24,16.05,1.135,2.09,2.09,0.0021,0.0021,0.00567230660972143
1,22.58,19.78,17.41,3.487,9.96,9.96,0.0199,0.0199,0.0530861268737578
1,21.3,16.78,14.76,3.627,12.31,12.31,0.0252,0.0252,0.067198492947306
1,22.28,19.21,16.9,3.557,9.73,9.73,0.021,0.021,0.0559265651778553
1,21.65,17.94,15.78,3.276,7.04,7.04,0.0161,0.0161,0.04291002500845
5.4,14.05,4.27,3.76,0.93,26.18,26.18,0.0098,0.0098,0.0261869386080966
5.4,14.43,4.55,4.01,0.977,15.68,15.68,0.0082,0.0082,0.0219587732648103
5.4,13.08,3.53,3.11,1.147,31.08,31.08,0.0146,0.0146,0.0389709513302153
5.4,13.68,3.95,3.48,1.006,32.38,32.38,0.012,0.012,0.0319859413198196
5.4,21.25,12.53,11.02,1.03,27.44,27.44,0.0114,0.0114,0.0303773404093198
5.4,21.48,12.8,11.27,0.995,24.49,24.49,0.0105,0.0105,0.0280475091173166
5.4,21.05,12.16,10.7,1.182,29.1,29.1,0.0136,0.0136,0.0363342693811114
5.4,20.95,12.11,10.66,1.041,21.49,21.49,0.011,0.011,0.0292630170109089
7,14.2,4.37,3.85,0.901,27.22,27.22,0.0094,0.0094,0.025066634906892
7,13.23,3.68,3.24,1.088,26.71,26.71,0.0128,0.0128,0.034064126813051
7,13.85,4.09,3.6,1.071,28.61,28.61,0.0119,0.0119,0.03169242833257
7,13.75,4,3.52,1.03,30.46,30.46,0.0118,0.0118,0.0315057153977547
7,21.28,12.51,11.01,0.948,31.93,31.93,0.011,0.011,0.0292712237711351
7,22,13.99,12.31,0.948,28.34,28.34,0.0099,0.0099,0.0263483675977753
