"Temp..C.","length..mm.","ind.Dw..mg.","AFDW..mg.","Z0..ug.chlorophyll.L.","F..mL.mg.h.","FI..mL.mg.h.","CR..ug.mg.h.","IR..ug.mg.h.","X"
5,18.48,13.76,12.11,5.069,5.46,5.46,0.0233,0.0233,0.0622436486364827
5,17.92,12.6,11.09,5.216,8.76,8.76,0.0357,0.0357,0.0950829595262315
5,19.48,14.47,12.73,5.045,8,8,0.0312,0.0312,0.0830896569512978
5,19.3,13.84,12.18,5.161,4.2,4.2,0.019,0.019,0.0505855904813023
11,20.82,16.48,14.51,12.24,27.6,27.6,0.1335,0.1335,0.355993238821654
11,19.98,18.33,16.13,13.04,29.44,29.44,0.133,0.133,0.354611819258373
11,20.78,18.2,16.02,13.52,27.1,27.1,0.1362,0.1362,0.363288071826972
11,19.82,18.95,16.67,13.52,28.77,28.77,0.1337,0.1337,0.356438858424282
11.6,19.96,16.48,14.51,14.8,28.25,28.25,0.1745,0.1745,0.465360964689222
11.6,20.54,18.33,16.13,15.36,24.88,24.88,0.1611,0.1611,0.429640839743366
11.6,20.16,18.2,16.02,15.12,23.42,23.42,0.1564,0.1564,0.417112841075975
11.6,21.12,18.95,16.67,14.88,18.56,18.56,0.1384,0.1384,0.368983174301372
24,18.6,15.57,13.7,8.82,29.56,29.56,0.1537,0.1537,0.409806926406136
24,18.52,16.51,14.53,8.58,23.91,23.91,0.1295,0.1295,0.345334019045552
24,19.88,13.74,12.09,9.18,41.16,41.16,0.2004,0.2004,0.534530027985274
24,19.14,17.56,15.45,9,30.22,30.22,0.1493,0.1493,0.398132642453083
17.1,19.7,13.88,12.21,5.064,18.6,18.6,0.0639,0.0639,0.17047173296492
17.1,21.14,10.67,9.39,4.956,21.06,21.06,0.074,0.074,0.197404919671224
17.1,21.08,10.74,9.45,4.986,18.14,18.14,0.0709,0.0709,0.18914392648262
17.1,20.1,12.4,10.91,4.908,18.29,18.29,0.0633,0.0633,0.168788157856395
